customer_id,signup_date,gender,age_group,city,membership_tier,preferred_channel,email_subscribed
CUST-20000,2022-10-17,Female,18-24,Sydney,Bronze,In-Store,1
CUST-20001,2021-10-09,Male,25-34,Adelaide,Bronze,Online,0
CUST-20002,2021-05-23,Female,65+,Melbourne,Silver,Online,0
CUST-20003,2022-11-24,Male,65+,New York,Gold,Online,1
CUST-20004,2021-03-31,Female,55-64,London,Bronze,Online,1
CUST-20005,2021-02-02,Male,18-24,Melbourne,Silver,Online,1
CUST-20006,2021-08-12,Female,25-34,New York,Silver,Online,1
CUST-20007,2022-09-09,Male,18-24,New York,Silver,In-Store,1
CUST-20008,2021-07-23,Female,65+,New York,Bronze,In-Store,0
CUST-20009,2022-03-06,Male,25-34,Toronto,Bronze,In-Store,1
CUST-20010,2022-08-27,Female,35-44,Sydney,Bronze,Online,0
CUST-20011,2021-06-13,Female,65+,London,Bronze,Online,1
CUST-20012,2021-12-15,Male,35-44,Brisbane,Silver,In-Store,0
CUST-20013,2021-08-09,Female,35-44,Melbourne,Platinum,In-Store,0
CUST-20014,2021-04-05,Male,45-54,Melbourne,Bronze,Online,1
CUST-20015,2022-01-03,Male,35-44,Singapore,Bronze,In-Store,1
CUST-20016,2021-09-28,Female,18-24,Toronto,Bronze,Online,0
CUST-20017,2022-07-04,Other,18-24,London,Bronze,In-Store,1
CUST-20018,2021-03-22,Female,55-64,Perth,Bronze,In-Store,0
CUST-20019,2022-10-06,Male,55-64,Auckland,Gold,Online,1
CUST-20020,2022-08-15,Female,25-34,Melbourne,Gold,Online,1
CUST-20021,2021-02-16,Male,65+,Adelaide,Bronze,In-Store,1
CUST-20022,2021-10-24,Male,18-24,Adelaide,Gold,Online,1
CUST-20023,2021-04-14,Female,45-54,Perth,Gold,In-Store,1
CUST-20024,2022-04-10,Male,65+,Auckland,Silver,Online,1
CUST-20025,2021-06-16,Female,35-44,Auckland,Bronze,Online,1
CUST-20026,2021-08-03,Male,65+,Perth,Gold,Online,0
CUST-20027,2022-12-20,Male,65+,Melbourne,Bronze,Online,1
CUST-20028,2022-09-16,Female,65+,Brisbane,Platinum,In-Store,0
CUST-20029,2022-07-01,Male,65+,Adelaide,Gold,In-Store,1
CUST-20030,2021-06-17,Female,45-54,London,Gold,Online,1
CUST-20031,2021-10-04,Male,65+,New York,Bronze,In-Store,0
CUST-20032,2021-08-13,Female,65+,Auckland,Bronze,Online,1
CUST-20033,2021-02-27,Male,25-34,Sydney,Bronze,In-Store,1
CUST-20034,2021-11-20,Female,45-54,Perth,Silver,Online,0
CUST-20035,2021-03-09,Male,25-34,Singapore,Platinum,Online,1
CUST-20036,2021-11-19,Male,25-34,Toronto,Bronze,In-Store,1
CUST-20037,2022-02-10,Male,65+,Toronto,Bronze,In-Store,1
CUST-20038,2021-05-27,Female,35-44,Brisbane,Bronze,In-Store,1
CUST-20039,2021-09-10,Female,65+,New York,Silver,Online,0
CUST-20040,2022-07-06,Female,35-44,Singapore,Bronze,In-Store,1
CUST-20041,2022-03-15,Female,55-64,London,Bronze,Online,1
CUST-20042,2022-01-06,Female,25-34,Brisbane,Bronze,In-Store,1
CUST-20043,2022-06-06,Male,45-54,Melbourne,Silver,In-Store,1
CUST-20044,2021-02-18,Male,18-24,Brisbane,Silver,In-Store,1
CUST-20045,2022-10-05,Male,25-34,London,Bronze,In-Store,0
CUST-20046,2022-09-03,Female,18-24,London,Bronze,In-Store,1
CUST-20047,2022-01-26,Male,55-64,Toronto,Silver,Online,0
CUST-20048,2022-06-26,Female,35-44,New York,Gold,Online,1
CUST-20049,2021-01-12,Female,65+,Melbourne,Silver,In-Store,0
CUST-20050,2022-11-30,Male,55-64,Perth,Silver,Online,0
CUST-20051,2022-10-19,Male,35-44,Melbourne,Silver,Online,1
CUST-20052,2021-10-28,Male,45-54,Brisbane,Bronze,Online,1
CUST-20053,2022-04-10,Male,18-24,Perth,Silver,In-Store,1
CUST-20054,2022-05-28,Female,25-34,New York,Bronze,In-Store,0
CUST-20055,2021-04-19,Female,65+,Perth,Silver,Online,1
CUST-20056,2022-10-17,Male,55-64,Singapore,Bronze,In-Store,1
CUST-20057,2021-07-23,Female,25-34,Auckland,Gold,In-Store,1
CUST-20058,2021-06-15,Female,55-64,New York,Silver,Online,0
CUST-20059,2021-01-01,Male,55-64,Auckland,Bronze,In-Store,1
CUST-20060,2022-05-16,Female,18-24,Melbourne,Platinum,In-Store,1
CUST-20061,2022-01-07,Female,35-44,Adelaide,Bronze,Online,0
CUST-20062,2021-03-01,Female,25-34,Singapore,Platinum,Online,1
CUST-20063,2021-03-22,Male,18-24,Toronto,Gold,Online,1
CUST-20064,2021-03-12,Female,55-64,Brisbane,Platinum,In-Store,1
CUST-20065,2021-05-12,Other,65+,Toronto,Silver,Online,1
CUST-20066,2022-07-17,Female,25-34,Perth,Gold,In-Store,1
CUST-20067,2022-06-25,Male,55-64,London,Bronze,In-Store,0
CUST-20068,2021-08-05,Female,55-64,Adelaide,Gold,Online,1
CUST-20069,2023-01-01,Female,35-44,London,Gold,In-Store,0
CUST-20070,2022-11-19,Male,65+,Auckland,Gold,Online,1
CUST-20071,2022-03-25,Male,55-64,Toronto,Silver,Online,1
CUST-20072,2021-05-04,Female,25-34,Adelaide,Bronze,Online,1
CUST-20073,2021-03-07,Male,35-44,Sydney,Gold,Online,1
CUST-20074,2022-08-26,Male,55-64,Adelaide,Gold,In-Store,1
CUST-20075,2022-08-26,Female,25-34,Sydney,Bronze,Online,1
CUST-20076,2021-03-14,Other,65+,Sydney,Silver,Online,1
CUST-20077,2021-08-23,Male,18-24,Sydney,Gold,Online,1
CUST-20078,2021-12-05,Other,18-24,New York,Bronze,In-Store,1
CUST-20079,2021-09-01,Male,35-44,Toronto,Bronze,Online,1
CUST-20080,2021-08-08,Female,55-64,Brisbane,Silver,In-Store,1
CUST-20081,2022-08-08,Female,55-64,Toronto,Platinum,In-Store,1
CUST-20082,2021-09-06,Male,45-54,London,Bronze,Online,0
CUST-20083,2021-07-14,Male,18-24,Melbourne,Bronze,Online,1
CUST-20084,2022-11-06,Female,45-54,Auckland,Gold,Online,1
CUST-20085,2022-03-10,Male,45-54,Toronto,Silver,Online,1
CUST-20086,2021-02-25,Female,65+,Melbourne,Bronze,In-Store,1
CUST-20087,2021-03-04,Female,45-54,Auckland,Bronze,Online,0
CUST-20088,2021-04-22,Male,25-34,Adelaide,Silver,Online,1
CUST-20089,2021-07-14,Female,55-64,Toronto,Bronze,In-Store,1
CUST-20090,2021-05-24,Female,45-54,Brisbane,Bronze,Online,1
CUST-20091,2021-10-13,Male,45-54,Adelaide,Platinum,In-Store,0
CUST-20092,2021-03-19,Male,45-54,New York,Bronze,Online,1
CUST-20093,2021-04-11,Female,18-24,New York,Bronze,Online,1
CUST-20094,2021-01-16,Male,18-24,Adelaide,Gold,In-Store,1
CUST-20095,2021-06-20,Female,45-54,Toronto,Bronze,In-Store,0
CUST-20096,2022-05-08,Female,25-34,London,Silver,Online,1
CUST-20097,2021-03-02,Female,25-34,London,Gold,In-Store,1
CUST-20098,2021-01-03,Female,45-54,Perth,Bronze,Online,0
CUST-20099,2022-04-11,Male,35-44,London,Gold,In-Store,0
CUST-20100,2022-12-15,Female,65+,New York,Bronze,Online,0
CUST-20101,2022-11-09,Female,65+,Toronto,Bronze,Online,1
CUST-20102,2021-06-08,Male,25-34,Perth,Gold,Online,0
CUST-20103,2021-08-11,Female,18-24,Singapore,Platinum,In-Store,1
CUST-20104,2022-07-10,Male,18-24,Auckland,Bronze,In-Store,0
CUST-20105,2021-02-28,Female,18-24,Singapore,Gold,Online,1
CUST-20106,2022-05-04,Female,55-64,New York,Bronze,Online,0
CUST-20107,2021-06-11,Male,18-24,New York,Bronze,Online,0
CUST-20108,2021-03-24,Male,25-34,Melbourne,Silver,Online,1
CUST-20109,2022-09-02,Female,18-24,Adelaide,Bronze,In-Store,1
CUST-20110,2022-02-18,Other,18-24,Singapore,Bronze,Online,1
CUST-20111,2021-09-10,Female,55-64,Singapore,Gold,In-Store,0
CUST-20112,2021-02-10,Male,55-64,Melbourne,Bronze,In-Store,1
CUST-20113,2022-03-06,Female,65+,Singapore,Bronze,Online,1
CUST-20114,2022-08-02,Male,55-64,Auckland,Bronze,Online,1
CUST-20115,2021-09-25,Female,25-34,Auckland,Bronze,In-Store,1
CUST-20116,2021-09-02,Male,35-44,London,Platinum,Online,0
CUST-20117,2021-05-15,Other,65+,Perth,Bronze,Online,0
CUST-20118,2022-04-14,Female,35-44,Melbourne,Bronze,Online,0
CUST-20119,2021-01-10,Female,45-54,Singapore,Bronze,In-Store,1
CUST-20120,2022-07-31,Female,18-24,Melbourne,Silver,Online,1
CUST-20121,2022-07-05,Female,25-34,New York,Silver,Online,1
CUST-20122,2021-09-29,Female,25-34,Auckland,Platinum,Online,1
CUST-20123,2021-03-12,Male,25-34,Auckland,Bronze,Online,1
CUST-20124,2021-10-19,Male,25-34,Toronto,Silver,In-Store,0
CUST-20125,2022-07-11,Female,65+,Perth,Silver,Online,0
CUST-20126,2022-09-19,Male,65+,New York,Silver,In-Store,0
CUST-20127,2021-01-09,Female,65+,New York,Platinum,In-Store,1
CUST-20128,2021-11-03,Female,65+,Melbourne,Platinum,Online,1
CUST-20129,2021-05-18,Female,35-44,Melbourne,Bronze,In-Store,1
CUST-20130,2021-04-20,Male,65+,New York,Silver,In-Store,0
CUST-20131,2021-06-09,Male,35-44,Perth,Gold,Online,1
CUST-20132,2022-09-12,Female,25-34,Auckland,Bronze,In-Store,0
CUST-20133,2021-07-28,Female,65+,Perth,Platinum,In-Store,0
CUST-20134,2022-06-02,Male,45-54,Perth,Gold,Online,1
CUST-20135,2021-02-22,Female,18-24,London,Platinum,Online,1
