customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment_code,segment,clv,avg_order_value,tenure_days,purchase_rate,category_diversity,preferred_channel_txn,avg_discount_used,membership_tier,age_group,city,gender,email_subscribed,tier_encoded,age_encoded,channel_encoded,gender_Female,gender_Male,gender_Other
CUST-20000,240,1,309.1,2,1,1,4,211,Hibernating,3355.57,309.1,76,0.3947,1,In-Store,0.0,Bronze,18-24,Sydney,Female,1,1,1,0,True,False,False
CUST-20001,469,4,3850.02,1,4,4,9,144,At Risk,483.15,962.5,449,0.2673,3,Online,0.0,Bronze,25-34,Adelaide,Male,0,1,2,1,False,True,False
CUST-20002,145,1,144.46,3,1,1,5,311,Hibernating,2756.6499999999996,144.46,588,0.051,1,Online,0.0,Silver,65+,Melbourne,Female,0,2,6,1,True,False,False
CUST-20003,71,1,12.29,4,1,1,6,411,New Customers,1175.74,12.29,38,0.7895,1,Online,10.0,Gold,65+,New York,Male,1,3,6,1,False,True,False
CUST-20004,23,4,5128.72,5,4,5,14,545,Champions,148.21,1282.18,641,0.1872,3,Online,0.0,Bronze,55-64,London,Female,1,1,5,1,True,False,False
CUST-20005,228,1,499.68,2,1,2,5,212,Hibernating,0.0,499.68,698,0.043,1,Online,0.0,Silver,18-24,Melbourne,Male,1,2,1,1,False,True,False
CUST-20006,44,1,540.34,5,1,2,8,512,New Customers,2362.22,540.34,507,0.0592,1,Online,0.0,Silver,25-34,New York,Female,1,2,2,1,True,False,False
CUST-20007,143,3,598.1800000000001,3,3,2,8,332,Potential Loyalists,23.62,199.39,114,0.7895,3,In-Store,1.6666666666666667,Silver,18-24,New York,Male,1,2,1,0,False,True,False
CUST-20008,480,3,842.7,1,3,2,6,132,Potential Loyalists,669.14,280.9,527,0.1708,3,In-Store,0.0,Bronze,65+,New York,Female,0,1,6,0,True,False,False
CUST-20009,310,4,2343.79,2,4,4,10,244,At Risk,1427.1999999999998,585.95,301,0.3987,4,In-Store,0.0,Bronze,25-34,Toronto,Male,1,1,2,0,False,True,False
CUST-20010,310,1,8426.15,2,1,5,8,215,Potential Loyalists,91.68,8426.15,127,0.2362,1,Online,0.0,Bronze,35-44,Sydney,Female,0,1,3,1,True,False,False
CUST-20011,355,1,151.26,2,1,1,4,211,Hibernating,11428.75,151.26,567,0.0529,1,Online,0.0,Bronze,65+,London,Female,1,1,6,1,True,False,False
CUST-20012,430,4,1202.4,1,4,3,8,143,At Risk,812.08,300.6,382,0.3141,3,In-Store,3.75,Silver,35-44,Brisbane,Male,0,2,3,0,False,True,False
CUST-20013,128,4,3679.83,3,4,4,11,344,Loyal Customers,1087.8,919.96,510,0.2353,3,In-Store,13.75,Platinum,35-44,Melbourne,Female,0,4,3,0,True,False,False
CUST-20015,193,1,261.93,3,1,1,5,311,Hibernating,7250.25,261.93,363,0.0826,1,In-Store,0.0,Bronze,35-44,Singapore,Male,1,1,3,0,False,True,False
CUST-20016,250,1,586.78,2,1,2,5,212,Hibernating,1419.76,586.78,460,0.0652,1,Online,0.0,Bronze,18-24,Toronto,Female,0,1,1,1,True,False,False
CUST-20017,332,3,4080.11,2,3,5,10,235,At Risk,0.0,1360.04,181,0.4972,2,In-Store,0.0,Bronze,18-24,London,Other,1,1,1,0,False,False,True
CUST-20018,78,6,2523.8399999999997,4,5,4,13,454,Champions,633.72,420.64,650,0.2769,4,In-Store,0.0,Bronze,55-64,Perth,Female,0,1,5,0,True,False,False
CUST-20019,194,2,948.31,3,1,2,6,312,Potential Loyalists,2370.8,474.16,87,0.6897,2,Online,2.5,Gold,55-64,Auckland,Male,1,3,5,1,False,True,False
CUST-20020,129,3,4432.88,3,3,5,11,335,Loyal Customers,545.4,1477.63,139,0.6475,3,Online,3.3333333333333335,Gold,25-34,Melbourne,Female,1,3,2,1,True,False,False
CUST-20021,349,2,6332.78,2,1,5,8,215,Potential Loyalists,818.13,3166.39,684,0.0877,2,In-Store,0.0,Bronze,65+,Adelaide,Male,1,1,6,0,False,True,False
CUST-20022,49,1,1759.74,5,1,3,9,513,New Customers,1439.3899999999999,1759.74,434,0.0691,1,Online,0.0,Gold,18-24,Adelaide,Male,1,3,1,1,False,True,False
CUST-20023,229,2,7645.27,2,1,5,8,215,Potential Loyalists,656.61,3822.64,627,0.0957,1,In-Store,5.0,Gold,45-54,Perth,Female,1,3,4,0,True,False,False
CUST-20024,452,3,4368.220000000001,1,3,5,9,135,At Risk,8831.439999999999,1456.07,266,0.3383,3,Online,0.0,Silver,65+,Auckland,Male,1,2,6,1,False,True,False
CUST-20025,264,4,6661.36,2,4,5,11,245,At Risk,6649.09,1665.34,564,0.2128,3,Online,0.0,Bronze,35-44,Auckland,Female,1,1,3,1,True,False,False
CUST-20026,332,3,524.3,2,3,2,7,232,Potential Loyalists,113.75,174.77,516,0.1744,3,Online,1.6666666666666667,Gold,65+,Perth,Male,0,3,6,1,False,True,False
CUST-20027,29,4,1576.9499999999998,5,4,3,12,543,Loyal Customers,3185.17,394.24,30,4.0,4,Online,0.0,Bronze,65+,Melbourne,Male,1,1,6,1,False,True,False
CUST-20028,291,2,431.15999999999997,2,1,1,4,211,Hibernating,154.85,215.58,107,0.5607,2,Online,7.5,Platinum,65+,Brisbane,Female,0,4,6,1,True,False,False
CUST-20029,77,1,615.96,4,1,2,7,412,New Customers,18.9,615.96,184,0.163,1,In-Store,0.0,Gold,65+,Adelaide,Male,1,3,6,0,False,True,False
CUST-20030,172,2,816.0899999999999,3,1,2,6,312,Potential Loyalists,0.0,408.04,563,0.1066,2,Online,0.0,Gold,45-54,London,Female,1,3,4,1,True,False,False
CUST-20031,195,5,10598.29,3,5,5,13,355,Loyal Customers,4636.860000000001,2119.66,454,0.3304,4,In-Store,0.0,Bronze,65+,New York,Male,0,1,6,0,False,True,False
CUST-20032,151,3,1570.38,3,3,3,9,333,Loyal Customers,428.94999999999993,523.46,506,0.1779,3,Online,0.0,Bronze,65+,Auckland,Female,1,1,6,1,True,False,False
CUST-20033,213,3,793.44,3,3,2,8,332,Potential Loyalists,1008.82,264.48,673,0.1337,3,In-Store,0.0,Bronze,25-34,Sydney,Male,1,1,2,0,False,True,False
CUST-20035,443,1,89.56,1,1,1,3,111,Lost,555.19,89.56,663,0.0452,1,Online,0.0,Platinum,25-34,Singapore,Male,1,4,2,1,False,True,False
CUST-20036,20,1,1045.0,5,1,2,8,512,New Customers,0.0,1045.0,408,0.0735,1,In-Store,0.0,Bronze,25-34,Toronto,Male,1,1,2,0,False,True,False
CUST-20038,140,4,1968.8,3,4,3,10,343,Loyal Customers,75.16,492.2,584,0.2055,2,In-Store,0.0,Bronze,35-44,Brisbane,Female,1,1,3,0,True,False,False
CUST-20039,134,2,1166.23,3,1,3,7,313,Potential Loyalists,1396.15,583.12,478,0.1255,2,Online,2.5,Silver,65+,New York,Female,0,2,6,1,True,False,False
CUST-20040,162,5,895.47,3,5,2,10,352,Potential Loyalists,2065.9300000000003,179.09,179,0.838,3,In-Store,0.0,Bronze,35-44,Singapore,Female,1,1,3,0,True,False,False
CUST-20041,601,2,4174.28,1,1,5,7,115,Potential Loyalists,2281.64,2087.14,292,0.2055,1,Online,0.0,Bronze,55-64,London,Female,1,1,5,1,True,False,False
